省份,新增确诊,累计确诊,死亡,治愈
湖北,0,68135,4512,63623
广东,0,1650,8,1635
香港,100,1569,8,1229
河南,0,1276,22,1254
浙江,0,1270,1,1267
湖南,0,1019,4,1015
安徽,0,991,6,985
黑龙江,0,947,13,934
江西,0,932,1,931
北京,0,929,9,715
山东,0,793,7,785
上海,3,728,7,690
江苏,0,654,0,654
四川,0,599,3,589
重庆,0,582,6,575
台湾,0,451,7,440
福建,0,363,1,361
河北,0,349,6,340
陕西,0,321,3,314
广西,0,254,2,252
内蒙古,0,249,1,237
天津,0,203,3,195
山西,0,200,0,198
云南,0,187,2,183
海南,0,171,6,165
甘肃,0,167,2,162
辽宁,0,164,2,150
吉林,0,155,2,153
贵州,0,147,2,145
新疆,0,76,3,73
宁夏,0,75,0,75
澳门,0,46,0,45
青海,0,18,0,18
西藏,0,1,0,1
